verdict,credit_at_stake,canonical_id,canonical_name,canonical_country,duplicate_id,duplicate_name,duplicate_country,group_total
"MERGE (trivial, <2% on secondary)",0.4,https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,https://openalex.org/I77127694,Shanghai Jiao Tong University,CN,4384.6
"MERGE (trivial, <2% on secondary)",0.3,https://openalex.org/I44504214,Czech Technical University in Prague,CZ,I84892839,Czech Technical University in Prague,,287.7
"MERGE (trivial, <2% on secondary)",0.3,https://openalex.org/I12356871,Télécom Paris,FR,https://openalex.org/I112355423,Télécom Paris,FR,94.2
MERGE,0.3,https://openalex.org/I4210131129,American School of Classical Studies at Athens,US,https://openalex.org/I98720382,American School of Classical Studies at Athens,,1.7
MERGE,0.3,https://openalex.org/I131740757,Texas A&M International University,US,https://openalex.org/I100653242,Texas A&M International University,US,1.4
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I1174212,University of Southern California,US,https://openalex.org/I150972724,University of Southern California,US,1445.2
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I102335020,Karlsruhe Institute of Technology,DE,https://openalex.org/I114748460,Karlsruhe Institute of Technology,DE,667.5
MERGE,0.2,https://openalex.org/I4577782,Technische Universität Berlin,DE,https://openalex.org/I54635425,Technische Universität Berlin,DE,468.9
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I106785703,Institut polytechnique de Grenoble,FR,https://openalex.org/I1312495809,Institut polytechnique de Grenoble,FR,247.5
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I2802326326,The University of Texas Rio Grande Valley,US,https://openalex.org/I46121591,University of Texas Rio Grande Valley,US,16.7
"MERGE (trivial, <2% on secondary)",0.2,https://openalex.org/I89440247,Myongji University,KR,https://openalex.org/I88458102,Myongji University,,10.6
MERGE,0.2,https://openalex.org/I129862065,Government Medical College,IN,https://openalex.org/I180771373,Government Medical College,IN,2.3
MERGE,0.2,https://openalex.org/I129862065,Government Medical College,IN,https://openalex.org/I4210164371,Government Medical College,IN,2.3
MERGE,0.2,https://openalex.org/I193291145,Schiller International University,FR,https://openalex.org/I4210089978,Schiller International University,,1.3
"MERGE (trivial, <2% on secondary)",0.1,https://openalex.org/I3045169105,Southern University of Science and Technology,CN,https://openalex.org/I27641155,Southern University of Science and Technology,,1084.2
"MERGE (trivial, <2% on secondary)",0.1,https://openalex.org/I124055696,University of Copenhagen,DK,I38189715,University of Copenhagen,DK,735.2
"MERGE (trivial, <2% on secondary)",0.1,https://openalex.org/I11923345,Wrocław University of Science and Technology,PL,https://openalex.org/I124076374,Wrocław University of Science and Technology,,45.6
"MERGE (trivial, <2% on secondary)",0.1,https://openalex.org/I82509713,Mälardalen University,SE,https://openalex.org/I42381343,Mälardalen University,,15.0
MERGE,0.1,https://openalex.org/I36353753,Central University,GH,https://openalex.org/I4210106093,Central University,,1.8
MERGE,0.1,https://openalex.org/I129862065,Government Medical College,IN,https://openalex.org/I4210089425,Government Medical College,IN,2.3
MERGE,0.1,https://openalex.org/I3131982239,Institut Catholique d'Arts et Métiers,FR,https://openalex.org/I4210112706,Institut Catholique d'Arts et Métiers,,2.6
MERGE,0.1,https://openalex.org/I4210107971,Royal Academy of Music,DK,https://openalex.org/I7715029,Royal Academy of Music,,1.6
MERGE,0.1,https://openalex.org/I4210154014,National Institute of Pharmaceutical Education and Research,IN,https://openalex.org/I4210146715,National Institute of Pharmaceutical Education and Research,IN,0.2
MERGE,0.0,https://openalex.org/I129862065,Government Medical College,IN,https://openalex.org/I4210104136,Government Medical College,IN,2.3
"MERGE (trivial, <2% on secondary)",0.0,https://openalex.org/I57629906,Nile University,EG,https://openalex.org/I4210131067,Nile University,,2.7
MERGE,0.0,https://openalex.org/I194120229,Xavier University,US,https://openalex.org/I215989355,Xavier University,,0.4
MERGE,0.0,https://openalex.org/I192664086,Northeastern State University,US,https://openalex.org/I4210091566,Northeastern State University,,0.6
"DO NOT MERGE: different countries, distinct institutions",400.2,https://openalex.org/I12912129,Northeastern University,US,https://openalex.org/I9224756,Northeastern University,CN,1235.5
"DO NOT MERGE: different countries, distinct institutions",325.7,https://openalex.org/I76569877,Southeast University,CN,https://openalex.org/I4210090971,Southeast University,BD,2803.4
"DO NOT MERGE: different countries, distinct institutions",175.7,https://openalex.org/I197347611,Korea University,KR,https://openalex.org/I4210161052,Korea University,JP,667.8
"DO NOT MERGE: different countries, distinct institutions",120.8,https://openalex.org/I111979921,Northwestern University,US,https://openalex.org/I4210100400,Northwestern University,PH,1282.3
"DO NOT MERGE: different countries, distinct institutions",89.6,https://openalex.org/I3923682,Soochow University,CN,https://openalex.org/I185940356,Soochow University,TW,554.5
"DO NOT MERGE: different countries, distinct institutions",56.9,https://openalex.org/I159948400,Jinan University,CN,https://openalex.org/I4210146271,Jinan University,LB,340.9
"DO NOT MERGE: different countries, distinct institutions",32.0,https://openalex.org/I192455969,York University,CA,https://openalex.org/I4210112962,York University,US,189.7
"DO NOT MERGE: different countries, distinct institutions",22.4,https://openalex.org/I165733156,University of Georgia,US,https://openalex.org/I4210126868,University of Georgia,GE,250.9
"DO NOT MERGE: different countries, distinct institutions",19.3,https://openalex.org/I91656880,China Medical University,CN,https://openalex.org/I184693016,China Medical University,TW,58.3
"DO NOT MERGE: different countries, distinct institutions",12.8,https://openalex.org/I223822909,Heidelberg University,DE,https://openalex.org/I85384741,Heidelberg University,US,670.5
"DO NOT MERGE: different countries, distinct institutions",11.1,https://openalex.org/I132153292,Indian Institute of Technology Patna,IN,https://openalex.org/I4210138036,Indian Institute of Technology Patna,IL,62.9
"DO NOT MERGE: different countries, distinct institutions",9.6,https://openalex.org/I9579091,Indian Institute of Technology Mandi,IN,https://openalex.org/I4210111082,Indian Institute of Technology Mandi,US,53.0
"DO NOT MERGE: different countries, distinct institutions",7.1,https://openalex.org/I60158472,Concordia University,CA,https://openalex.org/I4210148195,Concordia University,US,379.3
"DO NOT MERGE: different countries, distinct institutions",5.5,https://openalex.org/I47838141,Saint Louis University,US,https://openalex.org/I187476118,Saint Louis University,ES,48.6
"DO NOT MERGE: different countries, distinct institutions",3.5,https://openalex.org/I4210109292,Indian Institute of Technology Tirupati,IN,https://openalex.org/I4210116869,Indian Institute of Technology Tirupati,CN,16.3
"DO NOT MERGE: different countries, distinct institutions",3.2,https://openalex.org/I204442077,Trinity College,CA,https://openalex.org/I56722557,Trinity College,US,11.4
"DO NOT MERGE: different countries, distinct institutions",3.0,https://openalex.org/I64295750,Indian Institute of Technology Indore,IN,https://openalex.org/I4210137438,Indian Institute of Technology Indore,RU,76.6
"DO NOT MERGE: different countries, distinct institutions",3.0,https://openalex.org/I37802460,Northwest University,CN,https://openalex.org/I36819085,Northwest University,US,125.4
"DO NOT MERGE: different countries, distinct institutions",2.5,https://openalex.org/I4210094862,National Defense University,TW,https://openalex.org/I111149068,National Defense University,US,8.4
"DO NOT MERGE: different countries, distinct institutions",1.8,https://openalex.org/I4210088717,University of the West Indies,TT,https://openalex.org/I4210129319,University of the West Indies,JM,8.6
"DO NOT MERGE: different countries, distinct institutions",1.6,https://openalex.org/I4210088717,University of the West Indies,TT,https://openalex.org/I4210158067,University of the West Indies,BB,8.6
