institution_id,institution_name,area,year,pub_count,adjusted_count
https://openalex.org/I1322422313,Tech University of Korea,power,2020,1,0.33333
https://openalex.org/I150744194,Waseda University,power,2020,1,0.33333
https://openalex.org/I230091363,German Jordanian University,power,2020,1,0.33333
https://openalex.org/I35928602,Kyung Hee University,power,2021,4,0.33333
https://openalex.org/I72816309,Drexel University,power,2021,1,0.33333
https://openalex.org/I64189192,"International Institute of Information Technology, Hyderabad",power,2021,1,0.33333
https://openalex.org/I39586589,Swansea University,power,2021,1,0.33333
https://openalex.org/I2799360687,Islamic Azad University of Khomeynishahr,power,2021,1,0.33333
https://openalex.org/I205274468,Trinity College Dublin,power,2021,1,0.33333
https://openalex.org/I16465266,Austral University of Chile,power,2021,2,0.33333
https://openalex.org/I126231945,Queen's University Belfast,power,2021,1,0.33333
https://openalex.org/I138801177,University of Ulster,power,2021,1,0.33333
https://openalex.org/I18452974,Letterkenny Institute of Technology,power,2021,1,0.33333
https://openalex.org/I4104125,Universidade Federal de Santa Catarina,power,2021,1,0.33333
https://openalex.org/I6498739,Indian Statistical Institute,power,2021,1,0.33333
https://openalex.org/I31419693,Kyungpook National University,power,2021,1,0.33333
https://openalex.org/I51768193,Royal Military College of Canada,power,2021,1,0.33333
https://openalex.org/I81007117,Lucerne University of Applied Sciences and Arts,power,2021,1,0.33333
https://openalex.org/I180825142,"City, University of London",power,2021,1,0.33333
https://openalex.org/I58152225,Texas A&M University at Qatar,power,2022,1,0.33333
https://openalex.org/I126924076,Chongqing Normal University,power,2022,1,0.33333
https://openalex.org/I71920554,King Abdullah University of Science and Technology,power,2022,1,0.33333
https://openalex.org/I24062138,Konkuk University,power,2022,1,0.33333
https://openalex.org/I195939026,Glasgow Caledonian University,power,2023,1,0.33333
https://openalex.org/I162489102,University of Batna 1,power,2023,1,0.33333
https://openalex.org/I161929037,Université de Bretagne Occidentale,power,2023,1,0.33333
https://openalex.org/I145311948,Johns Hopkins University,power,2023,1,0.33333
https://openalex.org/I181679659,Shanghai University of Finance and Economics,power,2023,1,0.33333
https://openalex.org/I131651094,University of Denver,power,2024,2,0.33333
https://openalex.org/I167576493,Colorado School of Mines,power,2024,1,0.33333
https://openalex.org/I189575948,South Valley University,power,2024,1,0.33333
https://openalex.org/I199440890,American University of Sharjah,power,2024,1,0.33333
https://openalex.org/I86310350,Aswan University,power,2024,1,0.33333
https://openalex.org/I181326427,Donghua University,power,2024,1,0.33333
https://openalex.org/I119942576,University of the Pacific,power,2024,1,0.33333
https://openalex.org/I39470171,Ontario Tech University,power,2024,1,0.33333
https://openalex.org/I530967,Toronto Metropolitan University,power,2024,1,0.33333
https://openalex.org/I130929987,University of Mons,power,2024,1,0.33333
https://openalex.org/I189109744,Indian Institute of Technology Dhanbad,power,2024,1,0.33333
https://openalex.org/I47251452,Wake Forest University,power,2025,1,0.33333
https://openalex.org/I136765683,Tianjin University of Technology,power,2025,1,0.33333
https://openalex.org/I2613432,University of South Florida,power,2025,1,0.33333
https://openalex.org/I130474213,Pontificia Universidad Católica de Valparaíso,power,2025,1,0.33333
https://openalex.org/I189590672,Kansas State University,power,2025,1,0.33333
https://openalex.org/I4210144665,University of O'Higgins,power,2025,1,0.33333
https://openalex.org/I138006243,University of Arizona,power,2025,1,0.33333
https://openalex.org/I60388903,University of Puerto Rico-Mayaguez,power,2025,1,0.33333
https://openalex.org/I167027274,Nanjing Forestry University,power,2025,1,0.33333
https://openalex.org/I174306211,Technion – Israel Institute of Technology,power,2025,1,0.33333
https://openalex.org/I94624287,University of Twente,power,2026,1,0.33333
https://openalex.org/I199702508,Jouf University,power,2026,1,0.33333
https://openalex.org/I193531525,George Washington University,power,2026,1,0.33333
https://openalex.org/I4396570619,Great Bay University,power,2026,1,0.33333
https://openalex.org/I56306041,Lebanese American University,power,2026,1,0.33333
https://openalex.org/I130828816,University of Leeds,power,2026,1,0.33333
https://openalex.org/I145897649,Minzu University of China,power,2026,1,0.33333
https://openalex.org/I4210086682,National University System,power,2026,1,0.33333
https://openalex.org/I5343935,Guilin University of Electronic Technology,power,2026,1,0.33333
https://openalex.org/I2799736854,Nanjing Institute of Technology,power,2026,1,0.33333
https://openalex.org/I44468530,Qingdao University of Technology,power,2026,1,0.33333
https://openalex.org/I138006243,University of Arizona,power,2026,1,0.33333
https://openalex.org/I55741626,Technical University of Crete,sigproc,2016,1,0.33333
https://openalex.org/I129858807,Universidad de Guanajuato,sigproc,2016,1,0.33333
https://openalex.org/I53592917,Jiangxi Normal University,sigproc,2016,1,0.33333
https://openalex.org/I146620803,Wenzhou University,sigproc,2016,1,0.33333
https://openalex.org/I4210133642,IMT Nord Europe,sigproc,2016,1,0.33333
https://openalex.org/I158934434,Zhongnan University of Economics and Law,sigproc,2016,1,0.33333
https://openalex.org/I205237279,Nankai University,sigproc,2016,1,0.33333
https://openalex.org/I184999862,Universidad de Salamanca,sigproc,2016,1,0.33333
https://openalex.org/I169615421,Middle Tennessee State University,sigproc,2016,1,0.33333
https://openalex.org/I39804081,Sorbonne Université,sigproc,2016,1,0.33333
https://openalex.org/I40347166,University of Chicago,sigproc,2016,1,0.33333
https://openalex.org/I115684694,Industrial University of Santander,sigproc,2016,1,0.33333
https://openalex.org/I2279609970,Université de Lille,sigproc,2016,1,0.33333
https://openalex.org/I7454413,École Centrale de Lille,sigproc,2016,1,0.33333
https://openalex.org/I207789805,Lahore University of Management Sciences,sigproc,2016,1,0.33333
https://openalex.org/I92403157,University of Science and Technology Beijing,sigproc,2016,1,0.33333
https://openalex.org/I124055696,University of Copenhagen,sigproc,2016,1,0.33333
https://openalex.org/I12097938,West Virginia University,sigproc,2016,1,0.33333
https://openalex.org/I126307644,University of Iowa,sigproc,2016,1,0.33333
https://openalex.org/I13955877,Bar-Ilan University,sigproc,2016,1,0.33333
https://openalex.org/I44925452,Özyeğin University,sigproc,2016,1,0.33333
https://openalex.org/I110676245,Universidade Católica de Pelotas,sigproc,2016,1,0.33333
https://openalex.org/I7863295,Villanova University,sigproc,2017,1,0.33333
https://openalex.org/I154425047,University of Alberta,sigproc,2017,1,0.33333
https://openalex.org/I37461747,Wuhan University,sigproc,2017,1,0.33333
https://openalex.org/I73668669,Rajamangala University of Technology Srivijaya,sigproc,2017,1,0.33333
https://openalex.org/I129634264,Toho University,sigproc,2017,1,0.33333
https://openalex.org/I91538806,King Mongkut's Institute of Technology Ladkrabang,sigproc,2017,1,0.33333
https://openalex.org/I19648265,Wright State University,sigproc,2017,1,0.33333
https://openalex.org/I104546213,National College of Ireland,sigproc,2017,1,0.33333
https://openalex.org/I166337079,Queen Mary University of London,sigproc,2017,1,0.33333
https://openalex.org/I138689650,University of Padua,sigproc,2017,1,0.33333
https://openalex.org/I1351752,Koç University,sigproc,2017,1,0.33333
https://openalex.org/I4210144214,Jiangsu University of Technology,sigproc,2017,1,0.33333
https://openalex.org/I5681781,The University of Adelaide,sigproc,2017,1,0.33333
https://openalex.org/I7454413,École Centrale de Lille,sigproc,2017,1,0.33333
https://openalex.org/I151727225,Harbin Engineering University,sigproc,2017,1,0.33333
