institution_id,institution_name,area,venue,year,pub_count,adjusted_count
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,flagship,nat-comms,2019,0,69.49351
https://openalex.org/I76569877,Southeast University,comms,twc,2025,0,68.54917
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2021,0,68.46003
https://openalex.org/I97018004,Stanford University,flagship,nat-comms,2019,0,68.11013
https://openalex.org/I97018004,Stanford University,flagship,nat-comms,2020,0,68.03978
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2022,0,67.93274
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2022,0,67.71229
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2025,0,67.50731
https://openalex.org/I881766915,Nanjing University,flagship,nat-comms,2024,0,67.03661
https://openalex.org/I183067930,Shanghai Jiao Tong University,flagship,nat-comms,2022,0,66.92352
https://openalex.org/I150229711,University of Electronic Science and Technology of China,sigproc,icassp,2026,0,66.40357
https://openalex.org/I183067930,Shanghai Jiao Tong University,sigproc,icassp,2024,0,65.80159
https://openalex.org/I76130692,Zhejiang University,flagship,nat-comms,2022,0,65.52624
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2025,0,65.5044
https://openalex.org/I183067930,Shanghai Jiao Tong University,flagship,nat-comms,2023,0,65.37848
https://openalex.org/I76130692,Zhejiang University,image,cvpr,2025,0,65.02214
https://openalex.org/I40120149,University of Oxford,flagship,nat-comms,2019,0,64.97731
https://openalex.org/I157773358,Sun Yat-sen University,flagship,nat-comms,2023,0,64.92797
https://openalex.org/I40120149,University of Oxford,flagship,nat-comms,2023,0,63.84665
https://openalex.org/I24185976,Sichuan University,flagship,nat-comms,2024,0,63.6616
https://openalex.org/I32971472,Yale University,flagship,pnas,2020,0,63.53379
https://openalex.org/I150229711,University of Electronic Science and Technology of China,em_rf,tap,2024,0,63.35694
https://openalex.org/I35440088,ETH Zurich,flagship,nat-comms,2022,0,63.31938
https://openalex.org/I241749,University of Cambridge,flagship,nat-comms,2020,0,63.12264
https://openalex.org/I32971472,Yale University,flagship,nat-comms,2025,0,63.11682
https://openalex.org/I87445476,Xi'an Jiaotong University,powerelec,tpel,2025,0,63.02882
